Planet Name,Discovery Year,Discovery Method,Orbital Period (days),SemiMajor Axis (AU),Mass (Jupiter Mass),Stellar_Luminosity,Right Ascension (RA),Declination (Dec),RASTR,DECSTR,GLON,GLAT,ELON,ELAT,Ri (AU),Ro (AU)
Kepler-276 c,2013,Transit,31.884,0.1994,0.052,-0.089,293.568197,39.0363123,19h34m16.37s,+39d02m10.72s,72.30607,9.13322,307.64188,59.43368,0.2844452335847639,0.4097859542515907
Kepler-829 b,2016,Transit,6.88337562,0.0678,0.016,0.04,282.3328312,42.4638125,18h49m19.88s,+42d27m49.73s,71.95093,18.29325,291.86447,64.96975,0.19069251784911845,0.27472112789737807
K2-283 b,2018,Transit,1.921036,0.0291,0.0383,-0.524,13.1943679,9.6929181,00h52m46.65s,+09d41m34.51s,123.48272,-53.1774,15.90137,3.72545,0.6901910144037202,0.9943235113799829
Kepler-477 b,2016,Transit,11.11990653,0.0911,0.0155,-0.372,288.067445,42.355305,19h12m16.19s,+42d21m19.10s,73.50616,14.33019,301.32463,63.84272,0.5815340215170718,0.8377868418952581
TOI-1260 c,2021,Transit,7.493134,0.0657,0.04153,-0.889,157.1440712,65.8541986,10h28m34.58s,+65d51m15.11s,142.80364,45.37156,126.53164,50.71522,0.8989893315172423,1.2951287544356498
HD 149143 b,2005,Radial Velocity,4.07182,0.053,1.33,0.35,248.2126715,2.0844547,16h32m51.04s,+02d05m04.04s,17.5164,31.48148,246.09724,23.73392,0.5640760748177661,0.8126360553720011
HD 210702 b,2007,Radial Velocity,354.1,1.148,1.808,1.149,332.9638643,16.0404806,22h11m51.33s,+16d02m25.73s,76.29345,-32.02111,341.23155,25.29546,1.022030065382352,1.4723873567447823
HIP 12961 b,2010,Radial Velocity,57.435,0.25,0.36,-1.003,41.6800749,-23.0860048,02h46m43.22s,-23d05m09.62s,210.53871,-63.65019,30.53459,-37.09106,0.9548917120900053,1.3756645049533984
HD 11755 b,2015,Radial Velocity,433.70001,1.09,5.63,2.169,29.707836,73.1521372,01h58m49.88s,+73d09m07.69s,127.83989,10.92581,63.83546,55.18175,1.4042144358388364,2.022981173958047
HD 29985 b,2022,Radial Velocity,20608.14049,13.39,5.473,-0.846,70.5216589,-33.9210696,04h42m05.20s,-33d55m15.85s,235.69993,-40.50413,60.82987,-55.40523,0.8769782831352833,1.2634185431179723
HD 115954 b,2021,Radial Velocity,3700.0,5.0,8.45,0.481,199.9853694,38.3691383,13h19m56.49s,+38d22m08.90s,96.73653,77.27192,179.91393,42.53925,0.661266003415212,0.9526527015714177
HIP 97233 b,2014,Radial Velocity,1062.26506,2.491,19.187,1.204,296.4221207,-0.6968794,19h45m41.31s,-00d41m48.77s,38.57804,-12.37095,298.29437,20.18423,1.046205264059331,1.507215350640892
HD 95872 b,2015,Radial Velocity,4375.0,5.15,3.74,-0.242,165.8658796,-22.0943303,11h03m27.81s,-22d05m39.59s,272.33533,34.28324,176.30834,-25.79141,0.4690415759823429,0.6757246285173463
WASP-49 b,2012,Transit,2.78174,0.0379,0.37,-0.053,91.0897193,-16.9653901,06h04m21.53s,-16d57m55.40s,223.26522,-17.86,91.36485,-40.39949,0.21950357213908428,0.31622776601683794
WASP-56 b,2012,Transit,4.6171,0.05614,0.45,0.103,183.3660401,23.055687,12h13m27.85s,+23d03m20.47s,236.20496,80.491,173.40017,22.38321,0.3060005941764879,0.4408396790688304
WASP-47 c,2015,Radial Velocity,588.8,1.393,1.57,0.024,331.203092,-12.019067,22h04m48.74s,-12d01m08.64s,45.74798,-48.18707,328.99173,-0.20871,0.14770978917519928,0.2127980706395726
HAT-P-23 b,2010,Transit,1.212884,0.0232,2.09,0.199,306.1239076,16.7621462,20h24m29.74s,+16d45m43.73s,58.93637,-11.83428,313.49417,34.90735,0.4253340932832576,0.6127574545553955
Kepler-46 c,2012,Transit Timing Variations,57.011,0.2799,0.376,-0.255,289.2687388,42.6041819,19h17m04.50s,+42d36m15.05s,74.1138,13.62366,303.40734,63.82518,0.4814750064314676,0.6936368469679924
V1298 Tau b,2019,Transit,24.1396,0.1688,0.64,-0.02,61.331654,20.1570318,04h05m19.60s,+20d09m25.31s,172.89486,-23.37696,63.22772,-0.65768,0.13483997249264842,0.19425717247145283
V1298 Tau c,2019,Transit,8.24958,0.0825,0.24,-0.02,61.331654,20.1570318,04h05m19.60s,+20d09m25.31s,172.89486,-23.37696,63.22772,-0.65768,0.13483997249264842,0.19425717247145283
V1298 Tau d,2019,Transit,12.4032,0.1083,0.31,-0.02,61.331654,20.1570318,04h05m19.60s,+20d09m25.31s,172.89486,-23.37696,63.22772,-0.65768,0.13483997249264842,0.19425717247145283
V1298 Tau e,2019,Transit,60.0,0.308,1.16,-0.02,61.331654,20.1570318,04h05m19.60s,+20d09m25.31s,172.89486,-23.37696,63.22772,-0.65768,0.13483997249264842,0.19425717247145283
TOI-411 c,2022,Transit,9.573083,0.1017,0.03058,0.209,54.819538,-42.7630276,03h39m16.69s,-42d45m46.90s,248.83207,-52.70009,33.54309,-59.50046,0.43588989435406733,0.6279646667142263
TOI-411 b,2022,Transit,4.040295,0.05727,0.04314,0.209,54.819538,-42.7630276,03h39m16.69s,-42d45m46.90s,248.83207,-52.70009,33.54309,-59.50046,0.43588989435406733,0.6279646667142263
HD 22946 d,2023,Transit,47.42489,0.2958,0.0836,0.209,54.819538,-42.7630276,03h39m16.69s,-42d45m46.90s,248.83207,-52.70009,33.54309,-59.50046,0.43588989435406733,0.6279646667142263
Kepler-46 d,2014,Transit,6.766589,0.067,0.0105,-0.378,289.2687388,42.6041819,19h17m04.50s,+42d36m15.05s,74.1138,13.62366,303.40734,63.82518,0.5862050525510366,0.8445161615799968
Kepler-46 b,2012,Transit,33.60134,0.1968,6.0,-0.255,289.2687388,42.6041819,19h17m04.50s,+42d36m15.05s,74.1138,13.62366,303.40734,63.82518,0.4814750064314676,0.6936368469679924
tau Cet e,2017,Radial Velocity,162.87,0.538,0.01237,-0.305,26.0093029,-15.9337987,01h44m02.23s,-15d56m01.68s,173.07319,-73.4424,17.8127,-24.80956,0.5265669257299848,0.7585985091688537
K2-254 c,2018,Transit,12.11839,0.0923,0.0171,-0.822,185.5507926,-4.7172908,12h22m12.19s,-04d43m02.25s,289.32884,57.38029,186.9638,-2.12657,0.8644493780856848,1.245368779208157
NSVS 14256825 b,2019,Eclipse Timing Variations,3225.0,3.12,14.15,1.974,305.001946,4.6323715,20h20m00.47s,+04d37m56.54s,47.68869,-17.30896,308.57019,23.50727,1.33960645509995,1.9299037027496455
Kepler-1390 b,2016,Transit,6.48021673,0.0662,0.00553,-0.1,298.6624419,48.2488659,19h54m38.99s,+48d14m55.92s,82.29819,10.29931,323.15577,66.47737,0.30151134457776363,0.4343722427630694
Kepler-393 c,2014,Transit,14.613612,0.124,0.00733,0.524,290.995205,45.192188,19h23m58.85s,+45d11m31.88s,77.06756,13.57678,308.15046,65.87352,0.6901910144037202,0.9943235113799829
Kepler-263 c,2014,Transit,47.332773,0.242,0.021,-0.456,292.4698022,37.5677941,19h29m52.75s,+37d34m04.06s,70.58352,9.22104,305.1972,58.29257,0.6438520439863917,0.9275652852983266
Kepler-1431 b,2016,Transit,5.86601526,0.0648,0.00869,0.243,292.6583919,49.8651522,19h30m38.01s,+49d51m54.55s,81.92215,14.53543,315.78085,69.72745,0.47000967108038416,0.6771193144769508
Kepler-237 c,2014,Transit,8.103636,0.071,0.0157,-0.477,283.2213438,40.421762,18h52m53.12s,+40d25m18.34s,70.20006,16.94089,292.41941,62.83576,0.6585107164172529,0.9486832980505138
Kepler-1510 b,2016,Transit,84.703921,0.4089,0.0354,0.377,298.9591432,48.2578295,19h55m50.19s,+48d15m28.19s,82.40526,10.13197,323.60014,66.39051,0.5854291355298886,0.843398336918553
Kepler-169 e,2014,Transit,13.767102,0.105,0.0172,-0.496,285.9999204,40.9193822,19h03m59.98s,+40d55m09.78s,71.50909,15.17842,297.16486,62.85779,0.671497647731614,0.9673929173835073
Kepler-145 c,2013,Transit,42.882,0.2578,0.25,0.692,291.3877397,44.5290465,19h25m33.06s,+44d31m44.57s,76.5726,13.04277,308.22495,65.15504,0.7931525131340813,1.1426549686403549
Kepler-219 c,2014,Transit,22.714613,0.165,0.0394,0.214,288.7389481,46.7625929,19h14m57.35s,+46d45m45.33s,77.88787,15.64895,305.77689,67.88771,0.44107307166211646,0.6354318097999662
Kepler-910 b,2016,Transit,2.36436901,0.0382,0.0015,0.494,296.0472937,42.7429414,19h44m11.35s,+42d44m34.59s,76.51187,9.22798,313.87624,62.27162,0.6701424543266223,0.9654405583453147
Kepler-1037 b,2016,Transit,1.06378867,0.0198,0.00687,-0.448,296.3410342,47.1709335,19h45m21.85s,+47d10m15.36s,80.5711,11.14897,318.46153,66.23478,0.6381792281739724,0.9193927446243659
Kepler-992 b,2016,Transit,20.16034462,0.1339,0.0102,-0.57,284.4304085,47.6416613,18h57m43.30s,+47d38m29.98s,77.61384,18.69367,298.85463,69.63952,0.7198484689028782,1.0370495157480222
Kepler-113 b,2014,Transit,4.754,0.0502,0.037,-0.576,287.9978721,50.9441847,19h11m59.49s,+50d56m39.06s,81.73182,17.6898,308.94201,71.9564,0.7236272269866326,1.0424933826313663
Kepler-1097 b,2016,Transit,187.747029,0.5791,0.0336,-0.404,281.5941261,42.5963949,18h46m22.59s,+42d35m47.02s,71.88436,18.84996,290.65871,65.20633,0.6060303022726894,0.8730774026072352
Kepler-382 b,2014,Transit,5.262155,0.055,0.00724,0.146,299.1362435,45.8699582,19h56m32.70s,+45d52m11.85s,80.36831,8.83576,321.20885,64.2179,0.3643175438093432,0.5248539778959549
Kepler-1310 b,2016,Transit,0.67933627,0.0148,0.00839,-0.192,283.9200236,40.7400419,18h55m40.81s,+40d44m24.15s,70.71355,16.56523,293.70447,63.03841,0.4177863742936748,0.6018838350906229
42 Dra b,2008,Radial Velocity,479.1,1.19,3.88,2.155,276.4975053,65.5633652,18h25m59.40s,+65d33m48.11s,95.41912,27.12504,342.26846,87.18291,1.3996752870187101,2.0164418503515185
61 Vir c,2009,Radial Velocity,38.021,0.2175,0.057,-0.095,199.596455,-18.3157745,13h18m23.15s,-18d18m56.79s,311.85177,44.08875,205.00463,-9.3038,0.2938769068226293,0.42337369193050706
Kepler-57 b,2012,Transit,5.7293196,0.06,0.36183,-0.342,293.6413146,44.6570692,19h34m33.92s,+44d39m25.45s,77.41261,11.65774,311.86785,64.69773,0.5575922263707511,0.8032951007369113
70 Vir b,1996,Radial Velocity,116.688,0.481,7.49,0.451,202.1064898,13.7763085,13h28m25.56s,+13d46m34.71s,337.65749,74.0991,194.97087,21.3381,0.6403124237432849,0.9224659322849896
Kepler-255 c,2014,Transit,9.946047,0.092,0.029,-0.183,296.0642702,45.9767647,19h44m15.42s,+45d58m36.35s,79.40697,10.75408,316.80033,65.23657,0.40787698680317375,0.5876078784937491
K2-111 c,2020,Radial Velocity,15.6805,0.11569,0.03486,0.119,59.8903081,21.2985263,03h59m33.67s,+21d17m54.69s,170.97857,-23.55083,62.12843,0.72498,0.32891004572955534,0.473844174689098
Kepler-107 d,2014,Transit,7.95839,0.08377,0.02423,0.364,297.028162,48.2086019,19h48m06.76s,+48d12m30.97s,81.72606,11.23255,320.67285,66.95351,0.5752469825293227,0.82872942075818
LP 791-18 d,2023,Transit,2.753436,0.01992,0.00283,-2.638,165.6904843,-16.4064445,11h02m45.72s,-16d24m23.20s,268.56582,39.10605,173.5403,-20.69869,1.548606411643003,2.230999437598772
Kepler-52 c,2012,Transit,16.3850021,0.10379,0.14284,-0.996,286.7380152,49.9757383,19h06m57.12s,+49d58m32.66s,80.47826,18.08721,305.41902,71.36241,0.9515537533185109,1.3708556754884402
Kepler-248 b,2014,Transit,6.308205,0.066,0.0295,-0.418,293.0613138,43.5813577,19h32m14.72s,+43d34m52.89s,76.24058,11.54633,310.0737,63.84677,0.6164414002968976,0.8880761483583595
24 Sex b,2010,Radial Velocity,452.8,1.333,1.99,1.164,155.8684866,-0.9023998,10h23m28.44s,-00d54m08.64s,245.08569,44.7158,157.99391,-10.19818,1.0286796479865916,1.4819670762518105
24 Sex c,2010,Radial Velocity,883.0,2.08,0.86,1.164,155.8684866,-0.9023998,10h23m28.44s,-00d54m08.64s,245.08569,44.7158,157.99391,-10.19818,1.0286796479865916,1.4819670762518105
OGLE-TR-113 b,2004,Transit,1.4324752,0.02289,1.26,-0.529,163.1010355,-61.4468591,10h52m24.25s,-61d26m48.69s,289.20142,-1.78974,205.8812,-59.44703,0.6934760925288563,0.9990561583550596
WASP-130 b,2016,Transit,11.55098,0.1012,1.23,-0.032,203.1060194,-42.4752733,13h32m25.44s,-42d28m30.98s,310.94556,19.75783,218.21286,-30.2925,0.17056057308448835,0.24571804673358047
HATS-31 b,2016,Transit,3.37796,0.0478,0.88,0.619,191.7028214,-24.4273897,12h46m48.68s,-24d25m38.60s,301.5875,38.43228,200.52971,-17.81558,0.7501514998500454,1.0807055696635817
WASP-167 b,2017,Transit,2.0219596,0.0365,8.0,0.897,196.0437932,-35.5495292,13h04m10.51s,-35d32m58.31s,305.84592,27.25014,209.2281,-26.35847,0.9030252186149318,1.300943054168275
WASP-150 b,2020,Transit,5.644207,0.0694,8.46,0.558,264.2630197,53.0212751,17h37m03.12s,+53d01m16.59s,80.49322,32.34312,255.42708,76.17031,0.7122308103927598,1.0260751379305735
HD 110113 b,2021,Transit,2.541,0.035,0.01432,-0.032,190.0365636,-44.3120777,12h40m08.78s,-44d18m43.48s,300.80214,18.51297,209.10317,-36.25059,0.17056057308448835,0.24571804673358047
HD 110113 c,2021,Radial Velocity,6.744,0.068,0.03304,-0.032,190.0365636,-44.3120777,12h40m08.78s,-44d18m43.48s,300.80214,18.51297,209.10317,-36.25059,0.17056057308448835,0.24571804673358047
TOI-201 b,2021,Transit,52.97818,0.3,0.42,0.415,87.4017825,-54.910423,05h49m36.43s,-54d54m37.52s,262.84921,-30.62853,82.6234,-78.2832,0.6142253066039588,0.8848835335367746
TOI-1937 A b,2023,Transit,0.94667944,0.01932,2.01,0.08,116.3707214,-52.3832587,07h45m28.97s,-52d22m59.73s,265.30823,-13.54873,145.45049,-70.78258,0.26967994498529685,0.38851434494290565
K2-174 b,2018,Transit,19.562307,0.126,0.0229,-0.773,60.7929729,16.347166,04h03m10.31s,+16d20m49.80s,175.58217,-26.34917,61.99424,-4.2976,0.8382882992904486,1.2076798276189495
K2-216 b,2018,Transit,2.1748,0.028,0.02517,-0.721,11.4802354,6.3470302,00h45m55.26s,+06d20m49.31s,120.44792,-56.49811,13.03344,1.30322,0.8096014732289866,1.1663521588656514
HIP 63242 b,2013,Radial Velocity,124.6,0.565,9.18,1.63,194.3824825,-65.6463263,12h57m31.80s,-65d38m46.77s,303.56064,-2.78202,228.80484,-52.66451,1.2172995448196724,1.753702283203511
RR Cae b,2012,Eclipse Timing Variations,4343.5,5.3,4.2,-2.108,65.2733756,-48.6542601,04h21m05.61s,-48d39m15.34s,255.71201,-44.50181,42.35213,-68.04338,1.384327864475622,1.99433158992331
HAT-P-68 b,2020,Transit,2.29840551,0.02996,0.724,-0.779,118.4831501,23.9382192,07h53m55.96s,+23d56m17.59s,197.14414,23.83401,115.87988,3.02172,0.8415353933031089,1.2123577527919376
2MASS J19383260+4603591 b,2015,Eclipse Timing Variations,406.0,0.92,1.9,1.45,294.6359173,46.0664076,19h38m32.62s,+46d03m59.07s,79.01876,11.67426,314.70935,65.72534,1.1481209945740989,1.654040222184386
HAT-P-70 b,2019,Transit,2.74432452,0.04739,6.78,1.223,74.5523332,9.9979794,04h58m12.56s,+09d59m52.73s,189.96459,-19.66114,74.40351,-12.60904,1.054427893133609,1.519061279149502
WASP-169 b,2019,Transit,5.6114118,0.0681,0.561,0.789,127.3872297,-12.9447683,08h29m32.94s,-12d56m41.17s,236.34107,14.94722,133.59911,-30.90047,0.8469195518304719,1.2201144394207533
TOI-1680 b,2023,Transit,4.8026345,0.03144,0.00865,-2.363,292.313979,65.9738018,19h29m15.35s,+65d58m25.69s,97.46768,20.91324,6.5387,81.04825,1.4656677038748647,2.111513809104202
WASP-193 b,2023,Transit,6.2463345,0.0676,0.139,0.274,164.3491401,-29.9971229,10h57m23.79s,-29d59m49.64s,275.36894,26.7008,178.93216,-33.4794,0.4990900811385747,0.719013999916185
K2-317 b,2020,Transit,6.22,0.0542,0.028,-1.871,228.6188638,-21.0227209,15h14m28.53s,-21d01m21.80s,342.3074,30.70086,231.83663,-2.89688,1.3041890548954513,1.8788796340493137
HD 188641 b,2022,Radial Velocity,14583.81038,12.027,29.365,0.615,299.4048303,-37.7448845,19h57m37.16s,-37d44m41.58s,2.67804,-28.65534,293.91018,-16.71524,0.7477238187264794,1.077208131463259
TOI-2096 c,2023,Transit,6.38784,0.04,0.0136,-2.228,151.6186989,74.8272107,10h06m28.49s,+74d49m37.96s,135.57433,37.96972,114.8092,56.72136,1.4231846491072566,2.050310606933901
TOI-3807 b,2023,Transit,2.8989727,0.0421,1.04,0.332,139.1125648,69.0741284,09h16m27.02s,+69d04m26.86s,144.33075,37.87064,114.73362,49.81568,0.549379815626841,0.7914638932633773
Kepler-423 b,2014,Transit,2.6843285,0.03585,0.595,-0.018,292.8557189,46.3911883,19h31m25.37s,+46d23m28.28s,78.7526,12.92101,312.22879,66.51083,0.12792042981336627,0.18428853505018533
Kepler-411 d,2018,Transit,58.02035,0.279,0.04782,-0.579,287.6057027,49.5233937,19h10m25.37s,+49d31m24.22s,80.24936,17.40063,306.5211,70.73793,0.7255092255537735,1.0452046833939652
TOI-1075 b,2022,Transit,0.6047328,0.01159,0.03131,-1.144,309.9712091,-65.4496994,20h39m53.09s,-65d26m58.92s,330.01703,-35.68168,292.19888,-45.0626,1.0198039027185568,1.469180236062865
HATS-15 b,2016,Transit,1.74748753,0.02712,2.17,-0.204,311.0920041,-19.4375266,20h44m22.08s,-19d26m15.10s,26.56133,-33.28171,308.31376,-1.29605,0.43064433753916403,0.62040765660762
GJ 3341 b,2015,Radial Velocity,14.207,0.089,0.0208,-1.538,78.9471415,-31.2948458,05h15m47.31s,-31d17m41.44s,234.21914,-33.03266,73.77146,-54.1132,1.1824473849528436,1.703492527853536
GJ 581 b,2005,Radial Velocity,5.3686,0.04061,0.0497,-1.885,229.8564725,-7.7226935,15h19m25.55s,-07d43m21.70s,354.07234,40.02208,229.51658,10.25477,1.3090593430537683,1.885896013460155
G 264-012 b,2021,Radial Velocity,2.30538,0.02279,0.00787,-1.972,326.6719598,66.803848,21h46m41.27s,+66d48m13.85s,106.14833,10.16235,26.91465,68.34109,1.3389276577647027,1.9289257935392776
EPIC 249893012 b,2020,Transit,3.5951,0.047,0.02753,0.356,228.2482353,-16.7246474,15h12m59.58s,-16d43m28.73s,345.11043,34.30816,230.36713,1.15614,0.5688904671695278,0.8195719085031814
EPIC 249893012 c,2020,Transit,15.624,0.13,0.04616,0.356,228.2482353,-16.7246474,15h12m59.58s,-16d43m28.73s,345.11043,34.30816,230.36713,1.15614,0.5688904671695278,0.8195719085031814
GJ 3293 d,2017,Radial Velocity,48.1345,0.19394,0.02391,-1.658,67.1484425,-25.1713396,04h28m35.63s,-25d10m16.82s,223.54147,-41.61299,59.47175,-46.21807,1.2277103596829047,1.7687006210188463
GJ 3998 c,2016,Radial Velocity,13.74,0.089,0.0197,-1.387,259.0020507,11.0561751,17h16m00.49s,+11d03m22.23s,32.27249,26.15047,256.94774,33.99848,1.1229020842927895,1.617708605427897
