Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
TOI-1260 c,2021,7,0,K6 V,13,3953,0,157,65,2,3,0.34261285779798617,0.4935851274504626,No
HD 149143 b,2005,4,0,G0,422,5582,2,248,2,13,0,1.426604722781376,2.055237735212681,No
HD 210702 b,2007,354,1,K1 III,574,4677,14,332,16,13,1,3.5793457990657696,5.156583625541739,No
HIP 12961 b,2010,57,0,M0,114,3627,0,41,-23,13,0,0.3004717576232013,0.4328745620783414,No
HD 11755 b,2015,433,1,G5,1789,4038,147,29,73,12,4,11.582535965353946,16.68637752652492,No
HD 115954 b,2021,3700,5,G0 V,2685,5683,3,199,38,12,7,1.6588367852480532,2.389802797619899,No
HIP 97233 b,2014,1062,2,K0/1 III,6098,4746,15,296,0,12,18,3.8133235666239647,5.493663637550165,No
HD 95872 b,2015,4375,5,K0 V,1188,5038,0,165,-22,13,2,0.7216118517129357,1.03958993275,No
WASP-49 b,2012,2,0,G6 V,117,5326,0,91,-16,12,0,0.8970231626840349,1.2922961938004036,No
WASP-56 b,2012,4,0,G6,143,5326,1,183,23,10,0,1.0735039763053957,1.5465432335750235,No
HAT-P-23 b,2010,1,0,G0,664,5631,1,306,16,15,1,1.198957137481791,1.7272772986836515,No
V1298 Tau b,2019,24,0,K1,203,4776,0,61,20,10,1,0.9317591309996942,1.3423385578213978,No
V1298 Tau c,2019,8,0,K1,76,4776,0,61,20,5,3,0.9317591309996942,1.3423385578213978,No
V1298 Tau d,2019,12,0,K1,98,4776,0,61,20,6,2,0.9317591309996942,1.3423385578213978,No
V1298 Tau e,2019,60,0,K1,368,4776,0,61,20,8,3,0.9317591309996942,1.3423385578213978,No
TOI-411 c,2022,9,0,F7/F8V,9,5895,1,54,-42,2,3,1.2128404068148402,1.74727822715792,No
TOI-411 b,2022,4,0,F7/F8V,13,5895,1,54,-42,1,18,1.2128404068148402,1.74727822715792,No
HD 22946 d,2023,47,0,F7/F8V,26,5895,1,54,-42,2,10,1.2128404068148402,1.74727822715792,No
tau Cet e,2017,162,0,G8.5V,3,5036,0,26,-15,1,3,0.6711253715722504,0.9668565978281138,No
42 Dra b,2008,479,1,K1.5 III,1233,3926,142,276,65,13,3,11.397344022786033,16.419580801023514,No
61 Vir c,2009,38,0,G5 V,18,5303,0,199,-18,4,1,0.8546802284457127,1.2312948562353903,No
70 Vir b,1996,116,0,G5V,2380,5221,2,202,13,12,6,1.602520734489518,2.308671093253019,No
K2-111 c,2020,15,0,G2,11,5501,1,59,21,3,1,1.093461905306527,1.5752956189728855,No
LP 791-18 d,2023,2,0,M(6.1 +/- 0.7) V,0,2686,0,165,-16,1,4,0.0457407896084855,0.06589645704978507,No
24 Sex b,2010,452,1,K0 IV,632,4824,14,155,0,13,1,3.641695734226705,5.246408043955961,No
24 Sex c,2010,883,2,K0 IV,273,4824,14,155,0,13,0,3.641695734226705,5.246408043955961,No
OGLE-TR-113 b,2004,1,0,K4 V,400,4516,0,163,-61,12,1,0.518565544779017,0.7470713217134671,No
WASP-130 b,2016,11,0,G6,390,5351,0,203,-42,9,2,0.9189749164545621,1.3239209823510292,No
WASP-150 b,2020,5,0,F8,2688,5944,3,264,53,11,8,1.8126070191342265,2.611331846408682,No
HD 110113 b,2021,2,0,G,4,5458,0,190,-44,2,2,0.9189749164545621,1.3239209823510292,No
HD 110113 c,2021,6,0,G,10,5458,0,190,-44,3,1,0.9189749164545621,1.3239209823510292,No
TOI-201 b,2021,52,0,F6 V,133,6120,2,87,-54,11,0,1.5374594046866206,2.214940504829526,No
K2-216 b,2018,2,0,K5 V,8,4229,0,11,6,1,8,0.41572262167801916,0.5989106904037261,No
HIP 63242 b,2013,124,0,G8,2917,4556,42,194,-65,12,8,6.227355478426635,8.971438104377572,No
RR Cae b,2012,4343,5,M,1334,3630,0,65,-48,13,3,0.08419836483638225,0.12130035313324591,No
HAT-P-68 b,2020,2,0,K,230,4234,0,118,23,12,0,0.38886929918911517,0.5602244581112732,No
WASP-169 b,2019,5,0,F8,178,5836,6,127,-12,14,0,2.364850317596267,3.406921015498682,No
TOI-1680 b,2023,4,0,M4.5+/-0.5,2,2951,0,292,65,1,4,0.0627774480633067,0.09044031476954154,No
WASP-193 b,2023,6,0,F9,44,5804,1,164,-29,16,0,1.307084478317112,1.8830509250737915,No
TOI-2096 c,2023,6,0,M4,4,3026,0,151,74,1,3,0.0733337101063273,0.10564819102787217,No
Kepler-423 b,2014,2,0,G4 V,189,5286,0,292,46,13,0,0.9339070576279054,1.3454329677783206,No
Kepler-411 d,2018,58,0,K2 V,15,4713,0,287,49,3,2,0.48955744261576606,0.7052808066248988,No
TOI-1075 b,2022,0,0,K9 V/M0 V,9,3601,0,309,-65,1,9,0.255448676800673,0.3680120720106067,No
HATS-15 b,2016,1,0,G9 V,689,5037,0,311,-19,12,1,0.7538824919138657,1.0860806224423167,No
GJ 3341 b,2015,14,0,M2.5,6,3252,0,78,-31,2,2,0.16229444587206648,0.2338094526431897,No
GJ 581 b,2005,5,0,M3 V,15,3122,0,229,-7,4,1,0.10884379042096394,0.1568057793055737,No
G 264-012 b,2021,2,0,M4.0 V,2,3052,0,326,66,1,5,0.09846993640101798,0.1418606891198264,No
EPIC 249893012 b,2020,3,0,G8 IV/V,8,5156,2,228,-16,1,6,1.4364934743021165,2.0694839626049073,No
EPIC 249893012 c,2020,15,0,G8 IV/V,14,5156,2,228,-16,3,1,1.4364934743021165,2.0694839626049073,No
GJ 3293 d,2017,48,0,M2.5,7,3192,0,67,-25,2,2,0.14135255320666784,0.20363952023977877,Yes
GJ 3998 c,2016,13,0,M1,6,3448,0,259,11,2,2,0.193109508025088,0.27820316418673374,No
BD-08 2823 b,2009,5,0,K3 V,12,4542,0,150,-9,3,1,0.4637710737662944,0.6681316808248514,No
BD-10 3166 b,2000,3,0,K0 V,187,5119,0,164,-10,14,0,0.7652505623621688,1.102458030275621,No
GJ 720 A b,2021,19,0,M0.5 V,13,3563,0,278,45,3,1,0.23485708025181945,0.33834679361942854,No
BD-13 2130 b,2007,714,1,G5 IV/V,3108,4271,110,114,-13,12,8,10.01852202809682,14.433181241023764,No
HD 215152 d,2018,10,0,K3 V,2,4661,0,340,-6,1,4,0.5221600694133806,0.7522497727242646,No
GJ 229 b,2014,579,1,M1/M2 V,14,3290,0,92,-21,3,1,0.15951578205290143,0.22980637131069273,No
GJ 3222 b,2022,10,0,K0V,11,4984,0,50,-40,3,1,0.7133516291519467,1.0276898451942114,No
HAT-P-2 b,2007,5,0,F8,2765,6106,3,245,41,12,7,1.7551072387313817,2.528494802227328,No
CoRoT-14 b,2010,1,0,F9 V,2415,5761,1,103,-5,12,7,1.093461905306527,1.5752956189728855,No
EPIC 212737443 c,2019,65,0,K3,7,4410,0,204,-7,2,2,0.3778362806023448,0.5443297426580507,No
GJ 180 c,2014,24,0,M2 V,6,3097,0,73,-17,2,2,0.10871855148348086,0.156625353861775,Yes
HD 136118 b,2022,1187,2,F7 V,4164,5823,3,229,-1,12,12,1.835708240292548,2.6446126148625457,Yes
HD 153557 b,2022,7,0,K0,20,4563,0,254,47,4,1,0.49923342799717196,0.7192205125319843,No
HD 155918 b,2022,1,0,G2V,7,5498,1,260,-75,2,2,0.9711887822373403,1.3991428749639145,No
GJ 3138 d,2017,257,0,M0,10,3443,0,32,-16,3,1,0.20221047875313394,0.2913144753780205,No
HD 134060 c,2019,1291,2,G3 IV,29,5692,1,227,-61,5,0,1.1436777113790904,1.6476390073665816,No
K2-98 b,2016,10,0,F8 V,32,5898,3,126,11,5,2,1.703349068773515,2.4539294076900346,No
GJ 433 b,2011,7,0,M1.5 V,6,3187,0,173,-32,2,2,0.134835316038517,0.1942504641519791,No
GJ 433 d,2020,36,0,M2V,5,3187,0,173,-32,2,2,0.1745033052976433,0.25139814290522094,Yes
CoRoT-30 b,2020,9,0,G3 V,921,5376,0,277,6,11,3,0.7599826145450145,1.094868762577251,No
HATS-12 b,2016,3,0,F,759,6083,7,289,-19,7,1,2.5751566770597027,3.709898819386615,No
TOI-1062 b,2021,4,0,G9 V,10,5054,0,38,-78,2,4,0.6955104464719642,1.0019869498517415,No
HD 10180 d,2010,16,0,G1 V,11,5637,1,24,-60,3,1,1.1635998522261988,1.6763398345693485,No
HD 102272 b,2008,127,0,K0,1570,4516,45,176,14,12,4,6.461058264267609,9.308121964044217,No
HD 42618 b,2016,149,0,G4 V,14,5453,0,93,6,3,1,0.9436341670799311,1.3594463255648914,No
HD 110014 b,2009,835,2,K2 III,3524,4171,201,189,-7,12,10,13.530182589181146,19.492254145484264,No
HD 131496 b,2011,896,2,K0,572,4572,9,223,18,13,1,2.9840332459284618,4.298946745531845,No
