,0
0,WASP-47 c
1,GJ 3293 d
2,GJ 180 c
3,HD 136118 b
4,GJ 433 d
5,HD 125612 b
6,HD 4732 c
7,GJ 687 b
8,HD 191939 g
9,HD 210277 b
10,HD 10180 g
11,HD 147379 b
12,HD 111998 b
13,HD 165155 b
14,Kepler-1647 b
15,TOI-700 d
16,BD+45 564 b
17,Kepler-705 b
18,55 Cnc f
19,Kepler-68 d
20,TRAPPIST-1 e
21,Kepler-22 b
22,HD 17674 b
23,HD 175167 b
24,HD 190228 b
25,HD 99109 b
26,HD 213240 b
27,Kepler-1554 b
28,Kepler-1544 b
29,Kepler-1410 b
30,Kepler-1540 b
31,Kepler-1593 b
32,Kepler-1653 b
33,Kepler-1868 b
34,Kepler-47 c
35,Kepler-283 c
36,Kepler-712 c
37,BD+14 4559 b
38,GJ 1002 b
39,Kepler-1086 c
40,HD 16175 b
41,GJ 96 b
42,HD 142415 b
43,HD 100777 b
44,HD 13167 b
45,HD 159868 b
46,HD 10697 b
47,HIP 56640 b
48,HD 108874 b
49,HD 188015 b
50,HD 18015 b
51,HD 4113 b
52,HD 218566 b
53,HD 221287 b
54,HD 222582 b
55,Kepler-454 c
56,Kepler-174 d
57,Kepler-1661 b
58,Kepler-442 b
59,TOI-2257 b
60,GJ 273 b
61,WASP-41 c
62,GJ 667 C f
63,GJ 667 C c
64,Kepler-1704 b
65,HD 181720 b
66,HD 20782 b
67,HD 13908 c
68,HD 5319 b
69,HD 564 b
70,HD 183263 b
71,HD 147513 b
72,HD 114729 b
73,HD 28185 b
74,HD 125390 b
75,Kepler-1628 b
76,Kepler-1652 b
77,HD 38529 c
78,HD 145934 b
79,HD 63765 b
80,Kepler-1143 c
81,Kepler-155 c
82,HD 216435 b
83,GJ 3293 b
84,KELT-6 c
85,HD 103891 b
86,GJ 876 c
87,HD 23079 b
88,HD 40307 g
89,HD 86264 b
90,HD 137388 b
91,GJ 1061 d
92,HD 43197 b
93,ups And d
94,BD+55 362 b
95,HD 34445 f
96,Kepler-296 e
97,Kepler-443 b
98,GJ 422 b
99,HD 45364 c
100,Proxima Cen b
101,KIC 3526061 b
102,Wolf 1069 b
103,Kepler-1981 b
104,TOI-715 b
